"_id"	"_class"	"bigCode"	"bigName"	"departmentCode"	"departmentName"	"hospitalCode"	"introduction"
"608d6156d6089e216bd685e2"	"com.xzx.model.entity.Department"	"44f162029abb45f9ff0a5f743da0650d"	"全部科室"	"200050923"	"门诊部核酸检测门诊(东院)"	"1000_0"	"门诊部核酸检测门诊(东院)"
"608d6156d6089e216bd685e3"	"com.xzx.model.entity.Department"	"44f162029abb45f9ff0a5f743da0650d"	"全部科室"	"200050924"	"国际医疗部门诊"	"1000_0"	"国际医疗部门诊"
"608d6156d6089e216bd685e4"	"com.xzx.model.entity.Department"	"44f162029abb45f9ff0a5f743da0650d"	"全部科室"	"200050931"	"临床营养科(西院国际医疗)"	"1000_0"	"临床营养科(西院国际医疗)"
"608d6156d6089e216bd685e5"	"com.xzx.model.entity.Department"	"44f162029abb45f9ff0a5f743da0650d"	"全部科室"	"200050964"	"内分泌科互联网诊疗"	"1000_0"	"内分泌科互联网诊疗"
"608d6156d6089e216bd685e6"	"com.xzx.model.entity.Department"	"44f162029abb45f9ff0a5f743da0650d"	"全部科室"	"200051188"	"心内科互联网诊疗"	"1000_0"	"心内科互联网诊疗"
"608d6156d6089e216bd685e7"	"com.xzx.model.entity.Department"	"44f162029abb45f9ff0a5f743da0650d"	"全部科室"	"200051469"	"特需心理医学科门诊2"	"1000_0"	"特需心理医学科门诊2"
"608d6156d6089e216bd685e8"	"com.xzx.model.entity.Department"	"1c87253ca8aa8fc966a2443eeaac0fc1"	"内科"	"200041542"	"特需心内科门诊2"	"1000_0"	"特需心内科门诊2"
"608d6156d6089e216bd685e9"	"com.xzx.model.entity.Department"	"1c87253ca8aa8fc966a2443eeaac0fc1"	"内科"	"200042374"	"特需消化内科门诊2"	"1000_0"	"特需消化内科门诊2"
"608d6156d6089e216bd685ea"	"com.xzx.model.entity.Department"	"1c87253ca8aa8fc966a2443eeaac0fc1"	"内科"	"200040886"	"特需内分泌科门诊(西院)1"	"1000_0"	"特需内分泌科门诊(西院)1"
"608d6156d6089e216bd685eb"	"com.xzx.model.entity.Department"	"1c87253ca8aa8fc966a2443eeaac0fc1"	"内科"	"200041246"	"特需呼吸内科门诊2"	"1000_0"	"特需呼吸内科门诊2"
"608d6156d6089e216bd685ec"	"com.xzx.model.entity.Department"	"1c87253ca8aa8fc966a2443eeaac0fc1"	"内科"	"200041038"	"特需肾内科门诊2"	"1000_0"	"特需肾内科门诊2"
"608d6156d6089e216bd685ed"	"com.xzx.model.entity.Department"	"1c87253ca8aa8fc966a2443eeaac0fc1"	"内科"	"200041244"	"特需血液内科门诊2"	"1000_0"	"特需血液内科门诊2"
"608d6156d6089e216bd685ee"	"com.xzx.model.entity.Department"	"1c87253ca8aa8fc966a2443eeaac0fc1"	"内科"	"200044248"	"特需老年医学科门诊2"	"1000_0"	"特需老年医学科门诊2"
"608d6156d6089e216bd685ef"	"com.xzx.model.entity.Department"	"1c87253ca8aa8fc966a2443eeaac0fc1"	"内科"	"200040166"	"特需普通内科门诊1"	"1000_0"	"特需普通内科门诊1"
"608d6156d6089e216bd685f0"	"com.xzx.model.entity.Department"	"1c87253ca8aa8fc966a2443eeaac0fc1"	"内科"	"200041666"	"内科门诊(西院)"	"1000_0"	"内科门诊(西院)"
"608d6156d6089e216bd685f1"	"com.xzx.model.entity.Department"	"1c87253ca8aa8fc966a2443eeaac0fc1"	"内科"	"200043118"	"普通内科全科门诊"	"1000_0"	"普通内科全科门诊"
"608d6156d6089e216bd685f2"	"com.xzx.model.entity.Department"	"1c87253ca8aa8fc966a2443eeaac0fc1"	"内科"	"200045974"	"普通内科疑难病症门诊"	"1000_0"	"普通内科疑难病症门诊"
"608d6156d6089e216bd685f3"	"com.xzx.model.entity.Department"	"1c87253ca8aa8fc966a2443eeaac0fc1"	"内科"	"200048285"	"特需肿瘤内科门诊2"	"1000_0"	"特需肿瘤内科门诊2"
"608d6156d6089e216bd685f4"	"com.xzx.model.entity.Department"	"1c87253ca8aa8fc966a2443eeaac0fc1"	"内科"	"200048369"	"特需普通内科门诊2"	"1000_0"	"特需普通内科门诊2"
